Date,Description,Amount,Category
2024-04-08,Netflix,1226,Entertainment
2024-11-20,Lab Test,3890,Health
2024-08-18,Internet Bill Bill,3229,Bills & Rent
2024-02-13,Gas Bill,698,Bills & Rent
2024-05-08,Books Purchase,2710,Education
2024-12-07,Mobile Package,868,Bills & Rent
2024-09-22,Bus Ticket,95,Transport
2024-04-09,Petrol Cash,8812,Transport
2024-08-20,Books Purchase,1917,Education
2024-11-08,Internet Bill,2380,Bills & Rent
2024-09-13,Grocery Store,6617,Shopping
2024-03-11,Doctor Visit Cash,1939,Health
2024-08-27,Rickshaw,253,Transport
2024-05-25,Bykea Ride,165,Transport
2024-11-05,University Fee,13615,Education
2024-04-17,Netflix,1285,Entertainment
2024-06-22,Stationery,1109,Education
2024-08-30,Fruit Vendor Online,793,Food
2024-04-26,Chai,138,Food
2024-10-04,Internet Bill Bill,2375,Bills & Rent
2024-06-05,Medicine Purchase Bill,1469,Health
2024-07-23,Medicine Purchase,1465,Health
2024-02-15,Petrol,7041,Transport
2024-06-16,Stationery,525,Education
2024-12-30,University Fee Feb,18293,Education
2024-02-05,Rickshaw,189,Transport
2024-05-27,Home Groceries,3729,Food
2024-02-22,Gas Bill Monthly,885,Bills & Rent
2024-06-19,Family Dinner,2254,Food
2024-04-15,Family Dinner,2848,Food
2024-05-24,Stationery,762,Education
2024-09-18,University Fee,18369,Education
2024-09-18,Office Lunch,301,Food
2024-10-10,Rickshaw,221,Transport
2024-08-04,Internet Bill Bill,2704,Bills & Rent
2024-10-17,Bus Ticket Online,106,Transport
2024-12-02,Cinema,826,Entertainment
2024-08-20,Fruit Vendor,769,Food
2024-12-09,Bykea Ride,278,Transport
2024-01-19,Lab Test,2837,Health
2024-06-30,University Fee,16987,Education
2024-02-06,Lab Test,3649,Health
2024-10-28,Medicine Purchase Monthly,1127,Health
2024-09-20,Doctor Visit,864,Health
2024-02-13,Electricity Bill Jan,6738,Bills & Rent
2024-01-30,Medicine Purchase Bill,2354,Health
2024-06-29,Cinema Online,939,Entertainment
2024-03-23,Gas Bill,840,Bills & Rent
2024-06-16,Family Outing Mar,2305,Entertainment
2024-03-29,Milk Feb,289,Food
2024-07-20,Grocery Store Cash,5944,Shopping
2024-07-20,Shoes,2029,Shopping
2024-03-20,Clothes Shopping,2428,Shopping
2024-04-22,Doctor Visit,2836,Health
2024-10-11,Netflix Cash,1137,Entertainment
2024-06-23,University Fee,14886,Education
2024-04-28,Electricity Bill Payment,11342,Bills & Rent
2024-04-29,Medicine Purchase,2463,Health
2024-06-04,Netflix,987,Entertainment
2024-09-13,Family Outing Payment,2578,Entertainment
2024-09-13,Lab Test Mar,2393,Health
2024-03-05,Medical Store,649,Shopping
2024-02-19,University Fee,20952,Education
2024-11-30,Home Groceries,2044,Food
2024-02-24,University Fee,9271,Education
2024-11-07,Netflix,1182,Entertainment
2024-06-15,Lab Test Mar,2491,Health
2024-07-11,Bus Ticket,68,Transport
2024-12-22,Lab Test,1678,Health
2024-05-11,Books Purchase,1293,Education
2024-11-06,Medical Store,1073,Shopping
2024-09-13,House Rent,27287,Bills & Rent
2024-05-07,Clothes Shopping,4966,Shopping
2024-04-15,Netflix Bill,1214,Entertainment
2024-06-10,Doctor Visit,2236,Health
2024-02-22,Bike Service Payment,1188,Transport
2024-02-24,Netflix Monthly,1146,Entertainment
2024-08-09,Internet Bill Jan,1841,Bills & Rent
2024-02-22,Electricity Bill,7327,Bills & Rent
2024-10-17,Water Bill,886,Bills & Rent
2024-01-27,Electricity Bill,7096,Bills & Rent
2024-12-27,Rickshaw Online,111,Transport
2024-12-25,Office Lunch,467,Food
2024-08-07,Family Outing,3239,Entertainment
2024-08-06,House Rent,35782,Bills & Rent
2024-07-01,University Fee,14303,Education
2024-06-08,Petrol,3946,Transport
2024-10-19,Family Dinner,2169,Food
2024-06-15,Student Biryani,237,Food
2024-09-30,Medical Store Cash,1656,Shopping
2024-11-22,Grocery Store,6165,Shopping
2024-03-03,University Fee,13816,Education
2024-07-19,Doctor Visit,1043,Health
2024-02-01,House Rent,36772,Bills & Rent
2024-01-21,Bykea Ride,284,Transport
2024-07-16,Rickshaw Feb,187,Transport
2024-03-01,Medicine Purchase,2714,Health
2024-03-28,Shoes,3565,Shopping
2024-01-20,Office Lunch Bill,376,Food
2024-06-28,Gas Bill,631,Bills & Rent
2024-10-02,Petrol Mar,8718,Transport
2024-04-26,University Fee,13057,Education
2024-04-28,Chai Bill,64,Food
2024-08-08,Petrol Jan,8561,Transport
2024-04-22,Medicine Purchase,1147,Health
2024-08-16,Family Dinner,2383,Food
2024-05-24,Books Purchase Monthly,1695,Education
2024-09-01,Home Groceries Monthly,5008,Food
2024-07-28,Cinema,993,Entertainment
2024-09-15,Petrol,5406,Transport
2024-04-09,Milk,287,Food
2024-12-19,Rickshaw,154,Transport
2024-06-08,House Rent Bill,43733,Bills & Rent
2024-11-15,Mobile Package,960,Bills & Rent
2024-07-05,Doctor Visit Mar,1120,Health
2024-02-26,Medicine Purchase,759,Health
2024-10-09,Netflix,994,Entertainment
2024-07-07,Clothes Shopping,3934,Shopping
2024-02-19,Bus Ticket Cash,42,Transport
2024-12-03,Electricity Bill Jan,7653,Bills & Rent
2024-08-07,Lab Test,1395,Health
2024-01-02,Medical Store Mar,2452,Shopping
2024-09-09,Netflix,1261,Entertainment
2024-06-04,Medicine Purchase,1741,Health
2024-03-07,Cinema,993,Entertainment
2024-01-01,Stationery,1110,Education
2024-09-14,Home Groceries,2417,Food
2024-11-07,Office Lunch,259,Food
2024-09-13,Fruit Vendor,679,Food
2024-06-12,Books Purchase,2275,Education
2024-11-01,Medicine Purchase,2118,Health
2024-07-16,Clothes Shopping Payment,3986,Shopping
2024-10-16,Grocery Store,2667,Shopping
2024-09-26,Internet Bill,3693,Bills & Rent
2024-11-18,University Fee,8004,Education
2024-03-18,Doctor Visit,1620,Health
2024-07-07,Lab Test Payment,1590,Health
2024-08-30,Rickshaw Bill,251,Transport
2024-02-08,University Fee,12181,Education
2024-12-03,Doctor Visit,1117,Health
2024-01-29,Lab Test,3391,Health
2024-08-18,Online Order,767,Shopping
2024-11-16,University Fee Jan,15380,Education
2024-10-14,Water Bill Cash,753,Bills & Rent
2024-01-09,Doctor Visit,861,Health
2024-04-14,Internet Bill,2312,Bills & Rent
2024-05-20,Home Groceries,2411,Food
2024-07-22,Lab Test,1812,Health
2024-01-18,Cinema,647,Entertainment
2024-07-31,House Rent,24268,Bills & Rent
2024-09-18,Doctor Visit,2391,Health
2024-05-28,Shoes,1935,Shopping
2024-04-30,Petrol,5050,Transport
2024-10-07,Medicine Purchase Online,2541,Health
2024-12-05,Netflix,1151,Entertainment
2024-09-01,Internet Bill,3912,Bills & Rent
2024-10-16,Bike Service,1804,Transport
2024-05-15,Lab Test,3359,Health
2024-05-25,Online Order,1771,Shopping
2024-10-01,Family Outing,4041,Entertainment
2024-11-07,Books Purchase Feb,1745,Education
2024-04-27,Chai,135,Food
2024-11-19,Books Purchase Jan,2987,Education
2024-07-05,Gas Bill,1036,Bills & Rent
2024-04-29,Books Purchase,1464,Education
2024-03-02,Gas Bill Feb,544,Bills & Rent
2024-04-08,Netflix,1199,Entertainment
2024-09-07,Bike Service,703,Transport
2024-09-07,Online Order Monthly,648,Shopping
2024-04-01,Medicine Purchase Monthly,1017,Health
2024-09-19,Doctor Visit,1771,Health
2024-05-30,Lab Test,2169,Health
2024-11-11,Doctor Visit,2340,Health
2024-06-02,Lab Test,2779,Health
2024-08-19,Stationery,907,Education
2024-09-05,Medical Store,301,Shopping
2024-05-09,Online Order,2263,Shopping
2024-03-30,Internet Bill,2311,Bills & Rent
2024-07-09,Books Purchase,1796,Education
2024-05-01,Fruit Vendor Payment,490,Food
2024-11-19,Cinema,1269,Entertainment
2024-02-14,Milk,265,Food
2024-02-03,Cinema,698,Entertainment
2024-01-12,Chai,81,Food
2024-04-23,University Fee Payment,17435,Education
2024-11-12,Family Outing Payment,3735,Entertainment
2024-07-05,Bike Service Online,1872,Transport
2024-04-04,Fruit Vendor,426,Food
2024-07-06,Books Purchase Monthly,1864,Education
2024-09-19,Milk,185,Food
2024-08-13,Lab Test Online,3311,Health
2024-09-19,Netflix Cash,1074,Entertainment
2024-01-19,Online Order,5356,Shopping
2024-03-15,Cinema,1114,Entertainment
2024-09-11,Cinema,904,Entertainment
2024-11-17,Family Outing,3823,Entertainment
2024-07-15,Online Order Monthly,2082,Shopping
2024-08-11,Bus Ticket,113,Transport
2024-04-06,Office Lunch Cash,255,Food
2024-10-17,Electricity Bill Online,9810,Bills & Rent
2024-11-30,Books Purchase Cash,836,Education
2024-05-04,Petrol,5189,Transport
2024-06-10,Cinema Feb,715,Entertainment
2024-07-05,Cinema Payment,667,Entertainment
2024-12-04,Internet Bill Payment,2004,Bills & Rent
2024-06-10,Electricity Bill Online,10920,Bills & Rent
2024-10-09,Stationery Cash,686,Education
2024-10-21,Electricity Bill,3196,Bills & Rent
2024-03-24,Family Outing Monthly,3577,Entertainment
2024-01-02,Milk,258,Food
2024-12-10,Stationery Bill,546,Education
2024-12-02,Bykea Ride,239,Transport
2024-07-08,Electricity Bill Monthly,10334,Bills & Rent
2024-09-03,Gas Bill,1790,Bills & Rent
2024-11-21,Rickshaw,112,Transport
2024-10-29,Stationery,916,Education
2024-10-12,Books Purchase,900,Education
2024-09-27,Medicine Purchase Cash,2488,Health
2024-12-15,Stationery,420,Education
2024-07-07,Books Purchase,2718,Education
2024-12-26,Family Dinner,1943,Food
2024-03-23,Online Order,5048,Shopping
2024-04-15,Medicine Purchase,1366,Health
2024-05-21,Netflix,922,Entertainment
2024-08-21,Stationery,532,Education
2024-03-25,Bykea Ride,282,Transport
2024-12-17,University Fee Bill,12752,Education
2024-02-19,Lab Test Mar,2131,Health
2024-12-12,University Fee Bill,12824,Education
2024-05-22,Bike Service,1899,Transport
2024-12-17,Medical Store Feb,1939,Shopping
2024-10-02,Books Purchase,2310,Education
2024-09-29,Netflix Monthly,991,Entertainment
2024-03-30,Family Dinner,2294,Food
2024-01-05,Lab Test Cash,1838,Health
2024-07-01,Medicine Purchase,1542,Health
2024-03-12,Doctor Visit Jan,811,Health
2024-08-13,Student Biryani,276,Food
2024-03-19,Medicine Purchase,1832,Health
2024-08-27,Online Order Jan,3530,Shopping
2024-06-21,Family Outing,4473,Entertainment
2024-12-28,Books Purchase,2756,Education
2024-03-31,Family Dinner,2582,Food
2024-06-29,Books Purchase,2145,Education
2024-12-19,University Fee Monthly,12556,Education
2024-04-25,Lab Test,1380,Health
2024-11-02,Rickshaw Jan,245,Transport
2024-11-11,Medicine Purchase Jan,1901,Health
2024-04-04,Shoes,2228,Shopping
2024-10-24,Medical Store,2305,Shopping
2024-01-27,Stationery Monthly,636,Education
2024-07-21,Stationery Payment,599,Education
2024-03-23,Home Groceries Monthly,4850,Food
2024-08-24,Netflix,1241,Entertainment
2024-06-13,Chai,77,Food
2024-08-18,Bykea Ride,164,Transport
2024-07-26,Shoes,3170,Shopping
2024-10-01,Water Bill,1433,Bills & Rent
2024-08-15,Clothes Shopping,2356,Shopping
2024-10-18,House Rent,37267,Bills & Rent
2024-01-04,Grocery Store,4035,Shopping
2024-11-10,Gas Bill,2333,Bills & Rent
2024-12-13,Electricity Bill,11723,Bills & Rent
2024-10-07,Petrol,3391,Transport
2024-01-18,Doctor Visit,814,Health
2024-12-23,Grocery Store,7948,Shopping
2024-05-30,Water Bill Bill,783,Bills & Rent
2024-07-18,Medicine Purchase,2282,Health
2024-04-17,Cinema,1313,Entertainment
2024-08-23,Grocery Store,3083,Shopping
2024-08-19,Medical Store Jan,796,Shopping
2024-11-29,Family Outing Cash,3076,Entertainment
2024-11-13,Mobile Package Feb,866,Bills & Rent
2024-02-20,Grocery Store,3394,Shopping
2024-09-05,Chai,102,Food
2024-04-12,Netflix,1163,Entertainment
2024-09-15,Petrol,5791,Transport
2024-04-23,Lab Test Monthly,3552,Health
2024-01-03,Bykea Ride Payment,150,Transport
2024-08-25,Doctor Visit Payment,1714,Health
2024-10-26,Rickshaw,288,Transport
2024-03-31,Stationery,661,Education
2024-08-04,Clothes Shopping,4344,Shopping
2024-05-07,Rickshaw,159,Transport
2024-04-30,Petrol,7274,Transport
2024-07-22,Gas Bill,2306,Bills & Rent
2024-06-28,House Rent,26043,Bills & Rent
2024-06-24,Medical Store,2824,Shopping
2024-04-02,Lab Test,3829,Health
2024-08-05,Family Outing Cash,3388,Entertainment
2024-12-05,Office Lunch,263,Food
2024-12-12,Books Purchase,1320,Education
2024-07-13,Family Dinner,1526,Food
2024-09-23,Water Bill,802,Bills & Rent
2024-12-02,Online Order,5811,Shopping
2024-02-13,Lab Test Online,2022,Health
2024-01-16,Chai,103,Food
2024-07-23,Books Purchase,1175,Education
2024-06-19,Stationery,680,Education
2024-09-15,Family Outing Mar,4239,Entertainment
2024-10-28,Medicine Purchase,2854,Health
2024-10-14,Stationery,800,Education
2024-10-15,Electricity Bill,3488,Bills & Rent
2024-12-26,Stationery Feb,526,Education
2024-03-09,Home Groceries,2448,Food
2024-07-01,Internet Bill,2125,Bills & Rent
2024-08-04,Lab Test,2086,Health
2024-09-01,Family Outing Feb,3297,Entertainment
2024-05-30,House Rent Mar,37633,Bills & Rent
2024-06-26,Lab Test,2830,Health
2024-10-27,Internet Bill,3584,Bills & Rent
2024-05-23,Stationery Mar,470,Education
2024-09-13,Milk,164,Food
2024-02-12,Clothes Shopping Payment,3132,Shopping
2024-08-30,Medicine Purchase,1822,Health
2024-01-23,Doctor Visit,2472,Health
2024-10-10,Medical Store Mar,2553,Shopping
2024-01-02,House Rent,42965,Bills & Rent
2024-10-02,Family Dinner,2083,Food
2024-08-24,Student Biryani,244,Food
2024-07-18,Stationery,621,Education
2024-01-16,Family Outing Cash,2279,Entertainment
2024-07-18,Lab Test,2381,Health
2024-03-26,Clothes Shopping Jan,2296,Shopping
2024-02-25,Netflix Bill,1056,Entertainment
2024-09-16,Doctor Visit,2400,Health
2024-07-16,Medical Store,2228,Shopping
2024-01-03,Books Purchase,1618,Education
2024-05-05,Lab Test Feb,3379,Health
2024-03-11,Family Dinner Cash,1357,Food
2024-08-03,Family Outing,2628,Entertainment
2024-03-11,Student Biryani,223,Food
2024-07-19,Stationery Monthly,987,Education
2024-03-12,Water Bill,1443,Bills & Rent
2024-10-30,Cinema,1267,Entertainment
2024-05-26,Bike Service Feb,889,Transport
2024-12-01,Books Purchase,2347,Education
2024-03-01,Doctor Visit,987,Health
2024-02-05,Medical Store,448,Shopping
2024-03-21,Family Dinner,1838,Food
2024-09-18,Petrol Cash,4942,Transport
2024-04-21,Rickshaw,208,Transport
2024-10-18,University Fee Monthly,20127,Education
2024-10-17,Family Outing,1512,Entertainment
2024-11-16,Gas Bill,2219,Bills & Rent
2024-10-14,Student Biryani,210,Food
2024-09-19,Cinema Jan,1115,Entertainment
2024-11-26,Petrol,3614,Transport
2024-04-26,Stationery Online,484,Education
2024-05-31,Lab Test,1983,Health
2024-07-24,Stationery,1042,Education
2024-02-29,Shoes,3492,Shopping
2024-09-24,Milk,190,Food
2024-07-30,Doctor Visit Jan,2751,Health
2024-09-30,Petrol,3058,Transport
2024-04-06,Water Bill,1334,Bills & Rent
2024-07-06,Family Outing Online,4371,Entertainment
2024-08-20,Medicine Purchase Mar,1271,Health
2024-06-29,Family Dinner,2849,Food
2024-04-17,University Fee,18017,Education
2024-04-20,Rickshaw Payment,166,Transport
2024-10-31,Medical Store,1248,Shopping
2024-02-01,Mobile Package,387,Bills & Rent
2024-04-07,Stationery,468,Education
2024-11-22,Clothes Shopping,4433,Shopping
2024-01-21,Family Outing Monthly,1676,Entertainment
2024-03-23,Clothes Shopping,2310,Shopping
2024-03-17,Lab Test,2553,Health
2024-02-12,Stationery Jan,335,Education
2024-02-16,Rickshaw Monthly,258,Transport
2024-11-26,Electricity Bill,8947,Bills & Rent
2024-11-07,Lab Test,3670,Health
2024-07-13,Family Outing,2850,Entertainment
2024-06-09,Shoes,2444,Shopping
2024-06-15,Netflix,1147,Entertainment
2024-10-12,Family Dinner,1400,Food
2024-11-12,Grocery Store,5028,Shopping
2024-11-11,Medicine Purchase,2741,Health
2024-08-26,Family Dinner Jan,2159,Food
2024-01-10,Clothes Shopping Payment,3915,Shopping
2024-01-18,Netflix,1000,Entertainment
2024-02-26,Netflix Bill,956,Entertainment
2024-03-12,University Fee Jan,10705,Education
2024-06-27,Petrol,8302,Transport
2024-10-06,Water Bill Payment,1393,Bills & Rent
2024-04-11,Electricity Bill,11649,Bills & Rent
2024-01-19,Family Outing Monthly,3835,Entertainment
2024-11-23,Petrol,3364,Transport
2024-07-13,Medicine Purchase,1348,Health
2024-08-31,Books Purchase,2181,Education
2024-08-19,Fruit Vendor Feb,689,Food
2024-07-02,Online Order,3287,Shopping
2024-01-15,Bike Service,1863,Transport
2024-09-24,Medical Store Cash,2625,Shopping
2024-06-09,Clothes Shopping,5997,Shopping
2024-10-10,Bus Ticket,61,Transport
2024-01-28,Water Bill,776,Bills & Rent
2024-10-31,University Fee Monthly,20529,Education
2024-01-07,Petrol,6504,Transport
2024-12-08,Bike Service Monthly,1460,Transport
2024-05-09,Milk,237,Food
2024-11-09,Online Order,4764,Shopping
2024-10-28,Chai Payment,128,Food
2024-12-10,Lab Test,2918,Health
2024-11-02,Cinema,1224,Entertainment
2024-05-17,Gas Bill,406,Bills & Rent
2024-12-02,Doctor Visit Online,865,Health
2024-08-28,Bus Ticket Online,86,Transport
2024-09-08,Water Bill Payment,949,Bills & Rent
2024-04-01,Medical Store Mar,441,Shopping
2024-09-16,Netflix,1161,Entertainment
2024-07-06,Family Outing,2311,Entertainment
2024-10-26,Electricity Bill,7754,Bills & Rent
2024-03-16,Clothes Shopping,4581,Shopping
2024-04-07,Home Groceries Monthly,3208,Food
2024-02-09,Chai,70,Food
2024-01-01,Netflix,1056,Entertainment
2024-08-19,House Rent,38960,Bills & Rent
2024-05-11,Netflix,1190,Entertainment
2024-04-16,Family Outing,4218,Entertainment
2024-03-17,Books Purchase,1468,Education
2024-06-08,Lab Test,1470,Health
2024-03-11,Family Outing,3004,Entertainment
2024-01-19,Home Groceries,2264,Food
2024-06-24,Mobile Package,1017,Bills & Rent
2024-03-22,Medical Store,3064,Shopping
2024-08-24,Mobile Package,590,Bills & Rent
2024-06-22,Books Purchase,2957,Education
2024-03-01,Family Dinner,1533,Food
2024-11-22,Medicine Purchase,2929,Health
2024-08-10,Grocery Store,4187,Shopping
2024-02-26,Lab Test Monthly,2955,Health
2024-07-08,Electricity Bill Feb,11010,Bills & Rent
2024-02-04,Stationery,238,Education
2024-07-28,Office Lunch Jan,433,Food
2024-05-05,Books Purchase,1444,Education
2024-07-23,Bus Ticket,102,Transport
2024-04-08,Bus Ticket,83,Transport
2024-11-12,Lab Test Bill,2699,Health
2024-04-23,Doctor Visit,2604,Health
2024-09-09,Lab Test,3275,Health
2024-08-01,Stationery,1130,Education
2024-07-01,Doctor Visit,2612,Health
2024-06-10,Family Outing,4440,Entertainment
2024-03-19,Shoes Payment,2144,Shopping
2024-09-23,Clothes Shopping Cash,5140,Shopping
2024-12-17,Office Lunch Jan,318,Food
2024-12-21,Office Lunch,392,Food
2024-09-29,Internet Bill,3661,Bills & Rent
2024-02-17,Medicine Purchase,1056,Health
2024-06-01,Grocery Store,5734,Shopping
2024-03-31,University Fee,23316,Education
2024-09-14,Bykea Ride,168,Transport
2024-08-02,Petrol Bill,3895,Transport
2024-08-31,Petrol Bill,3731,Transport
2024-12-10,Chai Cash,87,Food
2024-09-02,House Rent,43483,Bills & Rent
2024-01-15,Home Groceries Online,2113,Food
2024-01-20,Doctor Visit,2984,Health
2024-09-02,Bykea Ride,300,Transport
2024-09-14,Rickshaw,255,Transport
2024-06-05,Petrol Jan,8741,Transport
2024-08-23,Clothes Shopping,5793,Shopping
2024-05-21,Student Biryani Cash,239,Food
2024-06-16,Cinema Online,829,Entertainment
2024-11-26,Internet Bill Feb,3850,Bills & Rent
2024-05-10,Electricity Bill,10897,Bills & Rent
2024-02-22,Bike Service,854,Transport
2024-01-10,Stationery Cash,688,Education
2024-04-16,Bike Service Online,1222,Transport
2024-09-25,Online Order,1141,Shopping
2024-11-21,Family Outing,3782,Entertainment
2024-05-05,Clothes Shopping,5590,Shopping
2024-11-30,Medicine Purchase,599,Health
2024-12-24,Internet Bill,2173,Bills & Rent
2024-12-01,Netflix,1286,Entertainment
2024-02-04,Office Lunch,344,Food
2024-09-12,Medical Store Feb,1881,Shopping
2024-07-14,Petrol,8827,Transport
2024-04-07,Clothes Shopping,3455,Shopping
2024-09-01,Books Purchase Cash,2418,Education
2024-04-12,Stationery Mar,922,Education
2024-02-17,Netflix,946,Entertainment
2024-09-19,Petrol Cash,7610,Transport
2024-10-24,Mobile Package,389,Bills & Rent
2024-03-27,University Fee,15044,Education
2024-01-06,Chai Bill,119,Food
2024-07-17,Grocery Store,3052,Shopping
2024-12-01,Books Purchase,2585,Education
2024-12-18,Medicine Purchase Bill,455,Health
2024-07-22,Books Purchase,2701,Education
2024-12-06,Online Order,2252,Shopping
2024-03-04,Clothes Shopping,4003,Shopping
2024-11-27,Electricity Bill,8696,Bills & Rent
2024-05-28,Online Order,1399,Shopping
2024-02-09,Internet Bill Jan,2880,Bills & Rent
2024-02-22,Medical Store,939,Shopping
2024-11-29,Petrol Mar,3362,Transport
2024-01-25,Online Order,2341,Shopping
2024-02-20,Bus Ticket Payment,70,Transport
2024-04-27,Cinema,849,Entertainment
2024-01-14,Internet Bill,2822,Bills & Rent
2024-09-25,Gas Bill Feb,1948,Bills & Rent
2024-11-22,Petrol,8571,Transport
2024-09-15,Grocery Store Jan,3505,Shopping
2024-07-19,Medicine Purchase Cash,1473,Health
2024-07-27,Gas Bill,483,Bills & Rent
2024-02-29,Books Purchase Feb,1137,Education
2024-10-12,Water Bill,978,Bills & Rent
2024-03-26,Medical Store,2989,Shopping
2024-11-19,Petrol,4605,Transport
2024-11-20,Electricity Bill Mar,5160,Bills & Rent
2024-10-14,Online Order Mar,5640,Shopping
2024-09-24,Lab Test,3406,Health
2024-01-11,Medicine Purchase,1099,Health
2024-06-07,Medicine Purchase,885,Health
2024-08-06,Mobile Package,699,Bills & Rent
2024-05-23,Books Purchase,1411,Education
2024-01-28,Family Outing Bill,2142,Entertainment
2024-06-29,Online Order,1274,Shopping
2024-12-29,Clothes Shopping,3779,Shopping
2024-12-28,Books Purchase,2873,Education
2024-09-03,Lab Test Jan,3165,Health
2024-04-30,Shoes,2969,Shopping
2024-02-22,Gas Bill Online,1757,Bills & Rent
2024-03-28,Mobile Package,468,Bills & Rent
2024-05-18,Lab Test,2830,Health
2024-12-06,Internet Bill,2732,Bills & Rent
2024-08-07,Stationery,462,Education
2024-12-25,Electricity Bill,4899,Bills & Rent
2024-06-26,University Fee Monthly,12267,Education
2024-12-16,University Fee,22798,Education
2024-02-20,Doctor Visit Feb,2116,Health
2024-02-05,Doctor Visit,2714,Health
2024-05-03,Office Lunch,365,Food
2024-06-04,Home Groceries Jan,3390,Food
2024-02-29,Lab Test Cash,3752,Health
2024-06-04,Books Purchase,1308,Education
2024-12-18,Water Bill,1276,Bills & Rent
2024-05-02,Books Purchase,2271,Education
2024-03-27,Lab Test Bill,3693,Health
2024-05-29,Medicine Purchase,994,Health
2024-07-07,Family Outing,2573,Entertainment
2024-03-06,Bike Service Cash,1304,Transport
2024-12-30,Medicine Purchase Monthly,822,Health
2024-12-20,Doctor Visit,2015,Health
2024-02-09,Milk,162,Food
2024-04-28,Shoes,1569,Shopping
2024-04-29,Family Dinner,2033,Food
2024-04-08,Cinema,1144,Entertainment
2024-05-26,Clothes Shopping,4618,Shopping
2024-08-18,Lab Test,3592,Health
2024-01-21,Grocery Store,4895,Shopping
2024-06-20,University Fee Cash,13425,Education
2024-09-06,Books Purchase,2290,Education
2024-05-29,Bike Service,1223,Transport
2024-02-25,Clothes Shopping,3398,Shopping
2024-03-17,Petrol Monthly,6647,Transport
2024-06-04,Bus Ticket,44,Transport
2024-04-30,Rickshaw,235,Transport
2024-06-16,Cinema,1467,Entertainment
2024-06-06,Milk,159,Food
2024-07-29,Water Bill Payment,1470,Bills & Rent
2024-07-07,Medicine Purchase,2246,Health
2024-11-19,Lab Test,3336,Health
2024-11-16,Lab Test,1949,Health
2024-12-26,Cinema Mar,911,Entertainment
2024-12-05,Medicine Purchase Feb,2455,Health
2024-03-08,Cinema,923,Entertainment
2024-11-20,Netflix Payment,1008,Entertainment
2024-01-20,Books Purchase,2360,Education
2024-07-31,Gas Bill,940,Bills & Rent
2024-05-30,Milk,195,Food
2024-11-20,Bike Service,681,Transport
2024-05-17,Fruit Vendor Jan,759,Food
2024-10-18,Family Dinner Bill,1232,Food
2024-11-07,Books Purchase,1244,Education
2024-05-23,Gas Bill,685,Bills & Rent
2024-01-16,Lab Test Bill,3155,Health
2024-02-24,Shoes Online,3533,Shopping
2024-10-21,Stationery,613,Education
2024-04-25,Internet Bill,3075,Bills & Rent
2024-08-30,Gas Bill,1920,Bills & Rent
2024-12-04,Electricity Bill,11718,Bills & Rent
2024-12-28,Doctor Visit,2919,Health
2024-09-05,University Fee Feb,12108,Education
2024-05-23,Clothes Shopping,5074,Shopping
2024-12-22,Shoes Online,3950,Shopping
2024-09-28,Lab Test,3426,Health
2024-01-22,Internet Bill,2294,Bills & Rent
2024-04-19,Fruit Vendor,409,Food
2024-08-18,Lab Test,1933,Health
2024-12-24,Cinema,957,Entertainment
2024-08-23,Netflix,924,Entertainment
2024-10-30,Bike Service Mar,750,Transport
2024-01-30,Bike Service,898,Transport
2024-04-07,Internet Bill,3755,Bills & Rent
2024-12-10,Bike Service,1779,Transport
2024-09-11,Clothes Shopping Jan,3246,Shopping
2024-03-27,Shoes Payment,3320,Shopping
2024-11-08,Doctor Visit Jan,1715,Health
2024-04-28,Books Purchase,1349,Education
2024-12-18,Electricity Bill Monthly,8526,Bills & Rent
2024-04-13,Netflix,1223,Entertainment
2024-01-12,Medical Store,320,Shopping
2024-02-26,University Fee Payment,19826,Education
2024-08-17,Mobile Package,1489,Bills & Rent
2024-08-06,Internet Bill Feb,2537,Bills & Rent
2024-12-30,Bykea Ride,133,Transport
2024-06-28,Netflix Payment,1071,Entertainment
2024-04-27,Books Purchase,1877,Education
2024-05-31,Gas Bill,2269,Bills & Rent
2024-05-01,Clothes Shopping Cash,4152,Shopping
2024-08-19,Clothes Shopping,4912,Shopping
2024-03-03,Electricity Bill Mar,5709,Bills & Rent
2024-12-30,Online Order Feb,1040,Shopping
2024-06-10,Electricity Bill,7427,Bills & Rent
2024-04-25,Petrol,6264,Transport
2024-12-29,Clothes Shopping,2316,Shopping
2024-12-14,Family Dinner,2936,Food
2024-07-14,Bykea Ride,299,Transport
2024-04-10,Office Lunch,447,Food
2024-05-18,Medical Store,3185,Shopping
2024-08-11,Stationery,575,Education
2024-12-03,Bykea Ride,215,Transport
2024-02-03,Fruit Vendor,622,Food
2024-08-10,Family Dinner,2023,Food
2024-02-25,Bike Service Jan,1687,Transport
2024-03-10,Rickshaw,178,Transport
2024-11-03,Cinema Bill,795,Entertainment
2024-03-17,Cinema,1206,Entertainment
2024-11-17,Shoes,1643,Shopping
2024-09-15,Online Order,1450,Shopping
2024-03-10,Clothes Shopping Feb,4988,Shopping
2024-11-19,Mobile Package,459,Bills & Rent
2024-01-22,Bykea Ride Monthly,260,Transport
2024-05-15,Student Biryani,307,Food
2024-09-08,Family Outing,2799,Entertainment
2024-11-30,Family Outing,2373,Entertainment
2024-05-08,Medicine Purchase Cash,2606,Health
2024-02-03,Mobile Package,515,Bills & Rent
2024-02-01,Bykea Ride Mar,156,Transport
2024-09-04,Petrol,7928,Transport
